	Node1	Node2
570	PF08370	COG0842
571	PF14510	PF08370
572	PF14510	COG1131
573	PF14510	PF01061
574	PF14510	PF00005
575	PF14510	COG0842
576	COG1131	PF08370
577	COG1131	PF14510
578	COG1131	PF01061
579	COG1131	PF00005
580	COG1131	COG0842
581	PF01061	PF08370
582	PF01061	PF14510
583	PF01061	COG1131
584	PF01061	PF00005
585	PF01061	COG0842
586	PF00005	PF08370
587	PF00005	PF14510
588	PF00005	COG1131
589	PF00005	PF01061
590	PF00005	COG0842
591	COG0842	PF08370
592	COG0842	PF14510
593	COG0842	COG1131
594	COG0842	PF01061
595	COG0842	PF00005
596	PF08370	PF14510
597	PF08370	PF01061
598	PF08370	PF00005
599	PF08370	COG0842
600	PF14510	PF08370
601	PF14510	PF01061
602	PF14510	PF00005
603	PF14510	COG0842
604	PF01061	PF08370
605	PF01061	PF14510
606	PF01061	PF00005
607	PF01061	COG0842
608	PF00005	PF08370
609	PF00005	PF14510
610	PF00005	PF01061
611	PF00005	COG0842
612	COG0842	PF08370
613	COG0842	PF14510
614	COG0842	PF01061
615	COG0842	PF00005
616	PF08370	PF14510
617	PF08370	PF01061
618	PF08370	PF00005
619	PF08370	COG0842
620	PF14510	PF08370
621	PF14510	PF01061
622	PF14510	PF00005
623	PF14510	COG0842
624	PF01061	PF08370
625	PF01061	PF14510
626	PF01061	PF00005
627	PF01061	COG0842
628	PF00005	PF08370
629	PF00005	PF14510
630	PF00005	PF01061
631	PF00005	COG0842
632	COG0842	PF08370
633	COG0842	PF14510
634	COG0842	PF01061
635	COG0842	PF00005
636	PF08370	PF14510
637	PF08370	PF01061
638	PF08370	PF00005
639	PF08370	COG0842
640	PF14510	PF08370
641	PF14510	PF01061
642	PF14510	PF00005
643	PF14510	COG0842
644	PF01061	PF08370
645	PF01061	PF14510
646	PF01061	PF00005
647	PF01061	COG0842
648	PF00005	PF08370
649	PF00005	PF14510
650	PF00005	PF01061
651	PF00005	COG0842
652	COG0842	PF08370
653	COG0842	PF14510
654	COG0842	PF01061
655	COG0842	PF00005
656	PF08370	PF14510
657	PF08370	COG1131
658	PF08370	PF01061
659	PF08370	PF00005
660	PF14510	PF08370
661	PF14510	COG1131
662	PF14510	PF01061
663	PF14510	PF00005
664	COG1131	PF08370
665	COG1131	PF14510
666	COG1131	PF01061
667	COG1131	PF00005
668	PF01061	PF08370
669	PF01061	PF14510
670	PF01061	COG1131
671	PF01061	PF00005
672	PF00005	PF08370
673	PF00005	PF14510
674	PF00005	COG1131
675	PF00005	PF01061
676	PF08370	PF14510
677	PF08370	PF01061
678	PF08370	PF00005
679	PF08370	COG0842
680	PF14510	PF08370
681	PF14510	PF01061
682	PF14510	PF00005
683	PF14510	COG0842
684	PF01061	PF08370
685	PF01061	PF14510
686	PF01061	PF00005
687	PF01061	COG0842
688	PF00005	PF08370
689	PF00005	PF14510
690	PF00005	PF01061
691	PF00005	COG0842
692	COG0842	PF08370
693	COG0842	PF14510
694	COG0842	PF01061
695	COG0842	PF00005
696	PF08370	PF14510
697	PF08370	PF01061
698	PF08370	PF00005
699	PF08370	COG0842
700	PF14510	PF08370
701	PF14510	PF01061
702	PF14510	PF00005
703	PF14510	COG0842
704	PF01061	PF08370
705	PF01061	PF14510
706	PF01061	PF00005
707	PF01061	COG0842
708	PF00005	PF08370
709	PF00005	PF14510
710	PF00005	PF01061
711	PF00005	COG0842
712	COG0842	PF08370
713	COG0842	PF14510
714	COG0842	PF01061
715	COG0842	PF00005
716	PF08370	PF14510
717	PF08370	PF01061
718	PF08370	PF00005
719	PF08370	COG0842
720	PF14510	PF08370
721	PF14510	PF01061
722	PF14510	PF00005
723	PF14510	COG0842
724	PF01061	PF08370
725	PF01061	PF14510
726	PF01061	PF00005
727	PF01061	COG0842
728	PF00005	PF08370
729	PF00005	PF14510
730	PF00005	PF01061
731	PF00005	COG0842
732	COG0842	PF08370
733	COG0842	PF14510
734	COG0842	PF01061
735	COG0842	PF00005
736	PF08370	PF14510
737	PF08370	PF01061
738	PF08370	PF00005
739	PF08370	COG0842
740	PF14510	PF08370
741	PF14510	PF01061
742	PF14510	PF00005
743	PF14510	COG0842
744	PF01061	PF08370
745	PF01061	PF14510
746	PF01061	PF00005
747	PF01061	COG0842
748	PF00005	PF08370
749	PF00005	PF14510
750	PF00005	PF01061
751	PF00005	COG0842
752	COG0842	PF08370
753	COG0842	PF14510
754	COG0842	PF01061
755	COG0842	PF00005
756	PF00005	PF00664
757	PF00005	COG1132
758	PF00664	PF00005
759	PF00664	COG1132
760	COG1132	PF00005
761	COG1132	PF00664
762	COG0488	PF00005
763	PF00005	COG0488
764	PF14510	PF01061
765	PF14510	PF00005
766	PF14510	PF08370
767	PF01061	PF14510
768	PF01061	PF00005
769	PF01061	PF08370
770	PF00005	PF14510
771	PF00005	PF01061
772	PF00005	PF08370
773	PF08370	PF14510
774	PF08370	PF01061
775	PF08370	PF00005
776	PF08370	PF14510
777	PF08370	PF01061
778	PF08370	PF00005
779	PF08370	COG0842
780	PF14510	PF08370
781	PF14510	PF01061
782	PF14510	PF00005
783	PF14510	COG0842
784	PF01061	PF08370
785	PF01061	PF14510
786	PF01061	PF00005
787	PF01061	COG0842
788	PF00005	PF08370
789	PF00005	PF14510
790	PF00005	PF01061
791	PF00005	COG0842
792	COG0842	PF08370
793	COG0842	PF14510
794	COG0842	PF01061
795	COG0842	PF00005
796	PF08370	PF14510
797	PF08370	PF01061
798	PF08370	PF00005
799	PF08370	COG0842
800	PF14510	PF08370
801	PF14510	PF01061
802	PF14510	PF00005
803	PF14510	COG0842
804	PF01061	PF08370
805	PF01061	PF14510
806	PF01061	PF00005
807	PF01061	COG0842
808	PF00005	PF08370
809	PF00005	PF14510
810	PF00005	PF01061
811	PF00005	COG0842
812	COG0842	PF08370
813	COG0842	PF14510
814	COG0842	PF01061
815	COG0842	PF00005
816	COG0488	PF00005
817	COG0488	PF12848
818	PF00005	COG0488
819	PF00005	PF12848
820	PF12848	COG0488
821	PF12848	PF00005
822	PF00005	COG1131
823	COG1131	PF00005
824	PF00005	PF00664
825	PF00005	COG1132
826	PF00664	PF00005
827	PF00664	COG1132
828	COG1132	PF00005
829	COG1132	PF00664
830	PF00005	PF00664
831	PF00005	COG1132
832	PF00664	PF00005
833	PF00664	COG1132
834	COG1132	PF00005
835	COG1132	PF00664
836	PF00005	COG1131
837	COG1131	PF00005
838	PF00005	COG1131
839	COG1131	PF00005
840	PF00005	COG1131
841	COG1131	PF00005
842	PF00005	COG1131
843	COG1131	PF00005
844	PF00005	COG1131
845	COG1131	PF00005
846	PF00005	COG1131
847	COG1131	PF00005
848	PF00005	COG1131
849	COG1131	PF00005
850	PF00005	COG1131
851	COG1131	PF00005
852	PF00005	COG1131
853	COG1131	PF00005
854	PF00005	COG1131
855	COG1131	PF00005
856	PF00005	COG1131
857	COG1131	PF00005
858	PF00005	COG1131
859	COG1131	PF00005
860	PF00005	COG1131
861	COG1131	PF00005
862	COG1134	PF00005
863	PF00005	COG1134
864	PF00005	PF00664
865	PF00005	COG1132
866	PF00664	PF00005
867	PF00664	COG1132
868	COG1132	PF00005
869	COG1132	PF00664
