	Node1	Node2
1008	PF14510	COG0842
1009	PF14510	PF00005
1010	PF14510	PF01061
1011	PF14510	PF08370
1012	PF08370	COG0842
1013	PF08370	PF00005
1014	PF08370	PF01061
1015	PF08370	PF14510
1016	COG0842	PF00005
1017	COG0842	PF01061
1018	COG0842	PF14510
1019	COG0842	PF08370
1020	PF00005	COG0842
1021	PF00005	PF01061
1022	PF00005	PF14510
1023	PF00005	PF08370
1024	PF01061	COG0842
1025	PF01061	PF00005
1026	PF01061	PF14510
1027	PF01061	PF08370
1028	PF14510	COG0842
1029	PF14510	PF00005
1030	PF14510	PF01061
1031	PF14510	PF08370
1032	PF08370	COG0842
1033	PF08370	PF00005
1034	PF08370	PF01061
1035	PF08370	PF14510
1036	COG0842	PF00005
1037	COG0842	PF01061
1038	COG0842	PF14510
1039	COG0842	PF08370
1040	PF00005	COG0842
1041	PF00005	PF01061
1042	PF00005	PF14510
1043	PF00005	PF08370
1044	PF01061	COG0842
1045	PF01061	PF00005
1046	PF01061	PF14510
1047	PF01061	PF08370
1048	PF14510	COG0842
1049	PF14510	PF00005
1050	PF14510	PF01061
1051	PF14510	PF08370
1052	PF08370	COG0842
1053	PF08370	PF00005
1054	PF08370	PF01061
1055	PF08370	PF14510
1056	PF00005	PF01061
1057	PF00005	PF08370
1058	PF00005	COG1131
1059	PF01061	PF00005
1060	PF01061	PF08370
1061	PF01061	COG1131
1062	PF08370	PF00005
1063	PF08370	PF01061
1064	PF08370	COG1131
1065	COG1131	PF00005
1066	COG1131	PF01061
1067	COG1131	PF08370
1068	COG0842	PF00005
1069	COG0842	PF01061
1070	COG0842	PF14510
1071	COG0842	PF08370
1072	PF00005	COG0842
1073	PF00005	PF01061
1074	PF00005	PF14510
1075	PF00005	PF08370
1076	PF01061	COG0842
1077	PF01061	PF00005
1078	PF01061	PF14510
1079	PF01061	PF08370
1080	PF14510	COG0842
1081	PF14510	PF00005
1082	PF14510	PF01061
1083	PF14510	PF08370
1084	PF08370	COG0842
1085	PF08370	PF00005
1086	PF08370	PF01061
1087	PF08370	PF14510
1088	COG0842	PF00005
1089	COG0842	PF01061
1090	COG0842	PF14510
1091	COG0842	PF08370
1092	PF00005	COG0842
1093	PF00005	PF01061
1094	PF00005	PF14510
1095	PF00005	PF08370
1096	PF01061	COG0842
1097	PF01061	PF00005
1098	PF01061	PF14510
1099	PF01061	PF08370
1100	PF14510	COG0842
1101	PF14510	PF00005
1102	PF14510	PF01061
1103	PF14510	PF08370
1104	PF08370	COG0842
1105	PF08370	PF00005
1106	PF08370	PF01061
1107	PF08370	PF14510
1108	COG0842	PF00005
1109	COG0842	PF01061
1110	COG0842	PF14510
1111	COG0842	PF08370
1112	PF00005	COG0842
1113	PF00005	PF01061
1114	PF00005	PF14510
1115	PF00005	PF08370
1116	PF01061	COG0842
1117	PF01061	PF00005
1118	PF01061	PF14510
1119	PF01061	PF08370
1120	PF14510	COG0842
1121	PF14510	PF00005
1122	PF14510	PF01061
1123	PF14510	PF08370
1124	PF08370	COG0842
1125	PF08370	PF00005
1126	PF08370	PF01061
1127	PF08370	PF14510
1128	COG0842	PF00005
1129	COG0842	PF01061
1130	COG0842	PF14510
1131	COG0842	PF08370
1132	PF00005	COG0842
1133	PF00005	PF01061
1134	PF00005	PF14510
