	Node1	Node2
994	PF00528	COG0581
995	PF00528	COG1117
996	PF00528	PF00005
997	PF00528	TIGR00972
998	PF00005	TIGR00974
999	PF00005	COG0581
1000	PF00005	COG1117
1001	PF00005	PF00528
1002	PF00005	TIGR00972
1003	TIGR00972	TIGR00974
1004	TIGR00972	COG0581
1005	TIGR00972	COG1117
1006	TIGR00972	PF00528
1007	TIGR00972	PF00005
1008	PF00005	COG1879
1009	PF00005	COG1129
1010	COG1879	PF00005
1011	COG1879	COG1129
1012	COG1129	PF00005
1013	COG1129	COG1879
1014	PF00528	COG1653
1015	PF00528	COG0395
1016	COG1653	PF00528
1017	COG1653	COG0395
1018	COG0395	PF00528
1019	COG0395	COG1653
1020	PF00359	PF02378
1021	PF02378	PF00359
1022	PF00528	PF00005
1023	PF00528	TIGR01726
1024	PF00528	COG1126
1025	PF00528	COG0765
1026	PF00005	PF00528
1027	PF00005	TIGR01726
1028	PF00005	COG1126
1029	PF00005	COG0765
1030	TIGR01726	PF00528
1031	TIGR01726	PF00005
1032	TIGR01726	COG1126
1033	TIGR01726	COG0765
1034	COG1126	PF00528
1035	COG1126	PF00005
1036	COG1126	TIGR01726
1037	COG1126	COG0765
1038	COG0765	PF00528
1039	COG0765	PF00005
1040	COG0765	TIGR01726
1041	COG0765	COG1126
1042	PF01899	COG1863
1043	PF01899	COG2212
1044	COG1863	PF01899
1045	COG1863	COG2212
1046	COG2212	PF01899
1047	COG2212	COG1863
1048	TIGR01186	COG1732
1049	TIGR01186	PF00005
1050	TIGR01186	PF04069
1051	TIGR01186	COG1125
1052	COG1732	TIGR01186
1053	COG1732	PF00005
1054	COG1732	PF04069
1055	COG1732	COG1125
1056	PF00005	TIGR01186
1057	PF00005	COG1732
1058	PF00005	PF04069
1059	PF00005	COG1125
1060	PF04069	TIGR01186
1061	PF04069	COG1732
1062	PF04069	PF00005
1063	PF04069	COG1125
1064	COG1125	TIGR01186
1065	COG1125	COG1732
